Tara,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19
Croatia,0.06368312773752863,5.483041816823662e-06,0.2177789944513797,0.4025885680374712,0.021849572618593213,0.027377805909754402,0.10389416906569811,0.06813998763027196,0.02157611760962348,0.024816180512756966,0.018420074429874228,0.008014913938350335,0.0047009944159464466,0.015327114807754142,0.0012342988817731126,9.476843009396912e-07,8.286841679326294e-07,0.00039739478862428645,0.00019145073350404282,1.9750208099291246e-06
Italy,0.6855463326233179,0.004957503056705147,0.06614454382678676,0.003194472245973626,0.07712538077380567,0.057218334827123074,0.0073145567960139195,0.017323004562394884,0.004869091082015939,0.00020484300007745168,0.06255457639269593,0.004643372122818188,0.004533796532751959,3.671100176887388e-05,0.0013722912424551671,0.0010129284078578779,0.0011099028337414765,0.0007608497215352702,1.5202259515089647e-05,6.2306690645962e-05
Cyprus,0.0602132728857633,0.11027384383511085,0.2516041126007335,0.09351702033919793,0.07689300900454697,1.4934567114623401e-05,0.26439630804574366,0.0029946311492988135,0.03598616611289797,0.04736237318315214,0.025707897458558008,7.551200973165944e-05,0.01911929504956801,0.007782736037122137,0.003168826652284868,4.319738787288717e-05,5.1136507557768173e-05,0.000777603858167339,1.2615102819169937e-06,1.686180529549498e-05
Latvia,0.45545655939586105,0.016471265262446803,0.0842363154552365,0.0016630968164892165,0.25916331968049505,0.0015251647523891302,0.033357995653968395,0.014416600155065025,0.07426485774642937,0.000486692003225424,0.02404569916282247,0.016917000449593315,0.0017376446635365848,0.00806994863514341,0.001707048721740671,0.0005212417396554431,1.6965335219424194e-05,0.005650271940370052,0.00013597035610221484,0.00015634207421047055
Lithuania,0.0009868037766854704,0.005597033380055296,0.054556262558014594,0.09254374884187995,0.27900408019549394,0.09436111656408372,0.025286138358911595,0.37729077577521203,0.00716441108039813,0.01080490685718568,0.014365920888809478,0.008364244190434219,0.008039394132019784,0.010536416446321977,0.00974832580491709,0.0007565899838257852,0.0001192811619114067,0.00040509940344882314,5.23976598255217e-05,1.7052940565459755e-05
Luxembourg,0.0003943996515966252,0.14799314782847256,0.007608567665321749,0.6336909085286232,0.01239864554271836,0.10018475630957993,0.03692148790351547,0.001449643471563803,0.01046729913862803,0.0066453107888231585,0.00025784637489680544,0.002053520415935362,0.006735715875614229,0.028037124554308814,0.003813004815894977,9.622436646582268e-06,0.0011052703094213063,5.6311737396600646e-05,0.0001669410965877758,1.0475554454718873e-05
Hungary,0.1659348941056945,3.07520215752123e-05,2.249175047144904e-05,0.05701216687472757,0.24312273016551952,0.3236158742929304,0.0010325559596411193,2.3842850138479233e-05,0.03382500958141839,0.011255678154088152,0.027235277872365703,0.10570674917516701,0.0014653369964990645,0.0021738412209752252,0.026975574507290642,0.00022661797145088924,8.953173630568044e-05,0.0002183258481689332,2.9838859143091913e-05,2.9100564289463126e-06
Malta,0.07903363466229683,0.09391601687895405,0.4215842407651065,0.00017075613805979473,0.06519518862837419,0.11053129518524697,0.07291537651186451,0.07065959063469095,0.033477914640412436,0.006633338919121856,0.01081397840401671,0.026918277442196444,8.873974467724188e-06,0.0008473544918288357,0.006966708069449595,0.00014161312922323567,7.136829391233162e-07,0.00015029559186765598,3.4486564991708476e-05,3.4568489097090433e-07
Netherlands,0.8792850706427234,0.004117724921244638,0.03283182912062739,0.009045743891078786,0.009269209579819337,0.005213196214462241,2.0208358104259747e-05,0.01252442302421356,0.002065233346834625,0.007325470677184835,0.0003762822537332461,0.024413013024408906,0.004262132781349882,0.0038437128809663866,0.003587900985946573,0.0003899465983385892,0.001057958493075264,0.00028036157634460206,2.2093420568571556e-05,6.848820897470219e-05
Austria,0.18812992269818293,0.3500106415808917,0.021434497081907075,0.11049757220432628,0.0036353792711148864,0.24027414305127043,0.021842238969474636,0.05024862716703213,0.0033405041929049943,0.00013162847316080083,7.416789689368048e-05,0.0051446315202612,0.004160627576293656,1.4584419459312488e-05,3.5540402269121158e-06,0.00039331759994409594,0.0005780931642201277,4.2108444262920245e-05,4.091790826107234e-05,2.8427399112725345e-06
