Tara,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19
Malta,-1.04971959693842,-1.1442927861486747,-2.4244292306963104,0.04879277173215683,0.9533998967714519,-1.2413949003852431,1.008270100763811,0.9925511250743425,0.6831979055967221,-0.30411190462297,0.3882934605530548,0.612619702368217,0.011123114680818764,0.10869257946989959,-0.31166004831666866,-0.044434376157602505,-0.003154423394003514,0.0457762749467445,-0.021927660420216114,0.0021953689953352153
Netherlands,4.659233618799239,-0.31884403953755275,0.9003205780814588,0.47257612956983625,0.47837776803958526,-0.35875806497803653,-0.022336501503412636,0.5560687653671237,-0.22580533663709423,-0.42527260204717965,0.09638434615426104,0.7763549541439849,0.32438676378914105,-0.30805276187831243,0.2976253108656923,0.09811879486378379,0.16161585047762514,-0.08319723323898469,0.023355066983894394,-0.04112042000352259
Austria,1.8044171377946818,2.4612097623900575,-0.6090664169271032,1.382879608588165,-0.25083195783331286,2.039207985785576,0.6148321682295332,0.9325456598998211,0.24044403935681874,-0.0477290649805239,-0.035827457283979035,0.298390602827262,0.26834124247985247,-0.015887390779933643,0.007842764498668026,-0.08250489100887703,-0.1000246226663191,-0.02699557627895647,-0.02661121580225147,-0.007014174532857331
Poland,-1.9719514823514093,1.6471908119101981,-0.2781908485829862,0.7945539342548882,-0.5899064647584991,0.4921915528009386,-1.0809017439249688,0.35536407831869654,-0.3645873692406999,-0.6391399184704659,-0.16650051311822217,0.8675816218389464,0.2553782019220458,-0.011944164800488577,0.13712459685793588,0.20781089636480185,-0.0732732909013814,0.09246653656528767,0.05034546013550347,0.040327586685856114
Portugal,-1.421875834879055,-0.7634723225883783,-1.1405865059719427,1.296078124231494,0.3706081685385787,0.15329085103257684,0.8378388345861977,-0.24231323118825648,1.2926389459384948,0.06227254770283604,-0.42624883375350353,-0.3799309419243225,-0.7083799875504518,0.32293732828666555,0.3346518956793088,-0.002843050344645345,-0.013298733628950966,-0.053758676400143965,-0.028183824688258193,-0.03620625536116481
Romania,-6.202924159794552,0.8390207435850853,0.04582555541920609,-1.9853711819219357,0.37942337384725117,-0.8012346678597814,-2.0353912129604486,-0.22449897352437787,0.9254048303123023,0.09175971097830445,-0.4443863379469145,-0.09771243454059063,0.3077795789042037,-1.1290666959945306,-0.22692383310146128,0.12654637602365168,-0.08547753656175337,0.01457196243967354,-0.03183626726638429,-0.03722708691638139
Slovenia,-0.3214997864422672,1.8199448028067382,-0.5546678859194332,-0.22981979621596282,-1.133693732033327,0.8435254510711102,0.7155987886532975,-1.2931277980543618,0.08934261507686365,-0.388652124004217,-0.18602224771775155,-0.157379859780872,0.13352585196982208,-0.24393890553223097,0.3840739316799241,-0.14423712134388492,0.07209393030017196,0.12200603935247546,0.0016519240303979228,-0.00024393181341468881
Slovakia,-1.386243027467037,1.1835561771203016,0.16751236878999393,0.5697833469820434,1.3354318456655194,-1.5026965262550924,0.20348021107164396,0.4855260988440405,0.059627480995704495,0.31330818973879127,0.058898450611655336,0.123418576704891,-0.8509644726131907,0.0991322781315675,-0.33681542663647346,-0.11909634370673611,-0.18588469542171165,-0.033785853360961474,0.06768449660074236,0.0022724873552088815
Finland,4.128896940065551,-1.0283256105969836,0.3718341625138232,-0.3013235523346926,0.20292705593498295,0.2980510723588672,-0.08375566474337895,-1.046437233456354,0.1520932335239932,0.18396924283100485,0.018027181691324102,-0.46362141881891755,0.2329189024384648,-0.09413219578968203,-0.3024699590946152,0.07395574959791437,0.07914526156584153,-0.01678433915663125,0.03737268434733114,0.0013665272598390205
Sweden,3.915379191127523,-0.041966859772847746,-0.03765605574211438,-0.3923099493558709,-0.37843484073905503,0.8788168461576816,-0.825225908844335,0.12182798447355313,-0.2549399151554624,0.5730385612361502,-0.057850527784115056,-0.9274254486743437,-0.3666113806459286,0.3848839376355131,-0.09500145811207619,0.33784923314890647,-0.10460327943498625,0.014023608767212698,-0.014796537377872733,0.0007707714137783962
Iceland,5.595439400656003,-2.415517174309856,-0.5067170635193512,0.10619514727779931,-0.5119808684898267,-0.675807883137443,-0.4153481151003129,0.5638179251304887,0.9214666706912192,0.3902156678936411,-0.9374795466404867,0.3268610434135128,-0.26592885849324527,-0.22645352945293856,0.026273372862038583,-0.06413024749155317,-0.001003900046134298,0.11685492927358855,-0.05179835269568074,0.03748774229986612
Norway,5.452236982872049,-1.0519308488923738,0.9364489542238834,0.2022394433909442,0.45787027587973184,-1.507515625394117,-1.0569540398949402,-0.22061381770880817,0.028248429896150895,0.47331887958832497,-0.6717488083099784,0.018304222079487835,0.19193989282838933,-0.10147957774288671,0.10011337861376458,-0.24906856691114465,0.06059228925716038,-0.10580401982431294,0.03515532125059664,0.02299793918651164
Switzerland,3.3745843844497583,0.7002618014976032,-0.024716903600856616,-1.027177169992313,0.2306540417890694,-0.12758937644685464,1.3567842472555796,0.4269035686948195,0.4992614328330457,-0.4015639964085151,0.32000080892429733,-0.44695843407476543,0.8675230095069201,0.03371870462691038,-0.3482118749289131,0.020189075086170745,-0.0019188162827100434,0.1020482385379492,-0.04968353634907111,0.012055977523865993
United Kingdom,2.759373031855009,-0.30196727119196914,-0.3323922581394336,-0.9993530151458894,0.0848488139245259,-0.38989555824572714,1.3701054137283148,0.4046815491497522,-0.2635808711228505,-0.055412549278936914,-0.23711508077364216,0.5361241039618402,0.08305821812660481,-0.03714746312616413,0.06754091070997822,0.08799874465414868,0.028190656300537013,-0.06628715476365946,0.038183506567292004,-0.060216922223104825
Montenegro,-3.710235129921257,-1.254275363088669,3.2090473902282852,-1.8195497848078739,-1.0437950472349873,1.5549292677831956,0.14519291659807806,0.7221271633390782,1.8048830821373283,0.9317584285176783,0.783369075026579,0.451496629846069,-0.06058229576033591,0.2632628564011414,0.04867199919343275,-0.017159557087769946,0.16117499069417618,0.011721311315389425,0.043655570951970236,0.01317565906408529
